
I 0.0;(MO1_SENSOR_PRESENCA_MEIO)
I 0.1;(MO2_PRESENCA_INICIO)
I 0.2;(MO2_CORRENTES_ALTA))
I 0.3;(CL01-01_BOTAO_LIB_OPERAD)
I 0.4;(CL01-01_PARADA_ZONA)
I 0.5;(M03_SENSOR_PRESENCA_TOMB)
I 0.6;(M03_TOMBADOR_EM_BAIXO)
I 0.7;(MO3_TOMBAD_LENTA__BAIXO)
I 1.0;(M03_TOMBAD_LENTA_CIMA)

I 1.1;(MO3_TOMBADOR_EM_CIMA)

I 1.2;(M04_SENSOR_PRESENCA)

I 1.3;(MOS_SENSOR_PRESENCA)

I 1.4;(SE03-01_SEL_AUTO_MANUAL)

I 1.5;(CL03-02_BOTAO_AVANCA_MO2)

I 1.6;(SE-03-02_SELET_DESC_TOMB)

I 1.7;(SE-03-02_SELET_SOBE_TOMB)
I 2.0;(CL03-02_BOTAO_AVANCA_M04)

I 2.1;(CL03-02_RESET_ANOMALIA)

I 2.2;(SE-03-03_SELET_DESC_ELEV)

I 2.3;(SE-03-03_SELET_SOBE_ELEV)

I 2.4;(MO6_SENSOR_PRESENCA)

I 2.5;(MO7_SENSOR_PRESENCA)

I 2.6;(MOB_SENSOR_PRESENCA)

RESERVA
I 3.0;(M09_ELEVADOR_EM_BAIXO)
I 3.1;(MO9_ELEVADOR_EM_CIMA)
I 3.2;(MO9_ANTIDEB_ENTRADA_ELEV)
I 3.3;(M09_ANTIDEB_SAIDA _ELEV)
I 3.4;(CL06-01_BOTAO_LIB_OPERAD)
I 3.5;(CL07-01 _BOTAO_LIB_OPERAD)
I 3.6;(CL06-01_PARADA_ZONA) 
I 3.7;(CL07-01_PARADA_ZONA)
I 4.0;(M10-SENSOR_PRESENÇA)
I 4.1;(M12_SENSOR_PRESENCA)
I 4.2;(M16_SENSOR_PRESENCA_FIM)
1 4.3;(M10 ANTIDEBORDO_SAIDA)
I 4.4;(M16_SENSOR_PRESENCA_MEIO)
I 4.5;(M10 LIGAR CORRENTES)
I 4.6;(M16_CORRENTES_ALTA)
I 4.7;(M10 SEL, GIRAR ANTIHOR)
I 5.0;(M13_SENSOR_PRESENCA_TOMB)

I 5.1;(M13_SENSOR_FH_PEQUENO)

I 5.2;(M13_SENSOR_FH_MEDIO_1)

I 5.3;(M10 SEL. GIRAR HORARIO)
I 5.4;(M14_SENSOR_PRESENCA_FIM)

I 5.5;(M13_TOMBADOR BAIXO)

I 5.6;(M13_TOMBADOR LENTA BAIXO)

I 5.7;(M13_TOMBADOR LENTA ALTO
I 6.0;(M13_TOMBADOR ALTO)
I 6.1;(M14_CORRENTES_ALTA)
1 6.2;(SE13-01_SEL_AUTO_MANUAL) 
I 6.3;((CL13-02_BOTAO_AVANCA_M12)
I 6.4;(SE_13_02_SELET_DESC_TOMB)
I 6.5;(SE_13_02_SELET_SOBE_TOMB)
I 6.6;(CL13_02_BOTAO_AVANCA_M14)
I 6.7;(CL13_02_RESET_ANOMALIA)
I 7.0;(SE25-01_SEL_AUTO_MANUAL)
I 7.1;(CL25-02_SELET RECUA_M18)
I 7.2;(CL25-02_SELET AVANC_M18)
I 7.3;(CL25-02_SEL REC_M25_M26)
I 7.4;(CL25-02_SEL AV_M25_M26)
RESERVA
I 7.6;(ST25-01 PARADA ZONA)
I 7.7;(CL13_01_SELETORA_REJEITO
I 8.0;(MO8_GIRADOR_RECUADO_90GR)
I 8.1;(MOS_GIRADOR_AVANCADO_OGR)
I 8.2;(M13_SENSOR_FH_MEDIO_2)
I 8.3;(M13_IDENTIF_FH_GRANDE)
I 8.4;(M13_IDENTIF_FH_PEQUENO)
I 8.5;(P582 UDC ENTRADO P581)
I 8.6;(P582 BLOQUEIO BAIXO)
I 8.7;(P582 BLOQUEIO ALTO)
RESERVA

I 9.1;(P583 DISTANC DE P582)

RESERVA

RESERVA

I 9.4;(M15_IPROD_110V_50HZ(T))

I 9.5;(M15_IPROD_220V_50HZ(D))

I 9.6;(M15_IPROD_110V_60HZ(A))

I 9.7;(M15_IPROD_220V_60HZ(B))
I 10.0;(M16_STOPPER_ALTO)

I 10.1;(M17_CORRENTES_ALTA)

I 10.2;(M17_SENSOR_PRESENCA_MEIO)

I 10.3;(M17_SENSOR_PRESENCA_FIM)
I 10.4;(M18_SENSOR_PRESENCA _MEIO)
I 10.5;(M18_CORRENTES_ALTA)
I 10.6;(M18_SENSOR_PRESENCA_FIM)
I 10.7;(M17_STOPPER_ALTO)
I 11.0;(M20_SENSOR_MUITO_CHEIO)2
I 11.1;(M20_SENSOR_PRESENCA_INIC)
I 11.2;(M21_SENSOR_MUITO_CHEIO)
I 11.3;(M21_SENSOR_PRESENCA_INIC)
I 11.4;(M22_SENSOR_MUITO_CHEIO)
I 11.5;(M22_SENSOR_PRESENCA_INIC)
I 11.6;(M23_SENSOR_MUITO_CHEIO)
I 11.7;(M23-SENSOR_PRESENCA
I 12.0;(M24_SENSOR_MUITO_CHEIO) 2
I 12.1;(M24_SENSOR_PRESENCA_INIC)
I 12.2;(M25_SENSOR_MUITO_CHEIO) 
I 12.3;(M25_SENSOR_PRESENCA_INIC) 
I 12.4;(M26_SENSOR_MUITO_CHEIO) 
I 12.5;(M26_SENSOR_PRESENCA_INIC)
I 12.6;(M27_SENSOR_MUITO_CHEIO)
I 12.7;(M27 _SENSOR_PRESENCA_INPROXIMA
I 13.0;(MSK READY TO RECEIVE M8) 
I 13.1;(MSK RECEIVED FROM MS)
I 13.2;(MSK ENTRANCE CONVEYOR ON)
I 13.3;(MSK READY TO GIVE M10) 
I 13.4;(MSK EXIT CONVEYOR ON)
RESERVA
I 13.6;(P610 LIBERACAO)
I 13.7;(P611 UDC ENTRADO)
I 32.0;(CONFI.LINHA EM CICLO 7KL)

RESERVA

I 32.2;(PMON LIGA CICLO)

I 32.3;(PMOFF DESLIGA CICLO)

I 32.4;(P1 RESTAURA ANOMALIA)

I 32.5;(QF804_Z4)

I 32.6;(M10_SENSOR_POSICAO_OGR)

I 32.7;(M10_SENSOR_POSICAO_90
I 33.0;(QF804_Z1)
I 33.1;(QF804_Z2)
I 33.2;(QF804_Z3)
I 33.3;(MT01_05_06_07_08_09)
I 33.4;(MTO1_10_11_15_16_17)
I 33.5;(MTO2,MT04)
I 33.6;(MT03-1,MT03-1F)
I 33.7;(MT12, MT14)
I 34.0;(MT13-1,MT 13-1F)
I 34.1;(M10_ANTIDEBORDO_ENTRADA)
RESERVA
I 34.3
I 34.4
I 34.5
I 34.6;(M01 SENSOR PRES, INICIO) 
I 34.7;(RELE KE EMERGENCIA)

Q 0.0;(MO1_MOTOR_ROLOS_AVANCAR)
Q 0.1;(MO5_MOTOR_ROLOS_AVANCAR)
Q 0.2;(MO6_MOTOR_ROLOS_AVANCAR)
Q 0.3;(M07_MOTOR_ROLOS_AVANCAR)
Q 0.4;(MO8_MOTOR_CORREN_AVANCAR)
RESERVA
Q0.6;(M10 CORRENTES AVANCAR)
RESERVA
Q 1.0;(M15_MOTOR_ROLOS_AVANCAR)
Q 1.1;(M16_MOTOR_CORREN _AVANCAR)
Q 1.2;(M17_MOTOR_CORREN_AVANCAR)
Q 1.3;(M02_MOTOR_CORREN_AVANCAR)
Q 1.4;(M04_MOTOR_CORREN_AVANCAR)
Q 1.5;(M12_MOTOR_CORREN_AVANCAR)
Q 1.6;(M14_MOTOR_CORREN AVANCAR)
Q 2.0;(MO3_INVERS_TOMB_SUBIR)
Q 2.1;(M03_INVERS_TOMB_DESCER)
Q 2.2;(MOS_INVERS_TOMB_LENTA)
RESERVA
Q 2.4;(M13_INVERS_TOMB_SUBIR)
Q 2.5;(M13_INVERS_TOMB_DESCER)
Q 2.6;(M13_INVERS_TOMB_LENTA)
RESERVA
Q 3.0;(MO8_SUBIR_ELEVADOR)
Q 3.1;(MOS_DESCER_ELEVADOR)
Q 3.2;(M16_SUBIR_CORRENTES) 
Q 3.3;(M17_SUBIR_CORRENTES) 
Q 3.4;(M18_SUBIR_CORRENTES)
Q 3.5;(M14_SUBIR_CORRENTES)
Q 4.0;(MO8_REUCAR_GIRO_90_GRAUS) 
Q 4.1;(MOS_AVANCAR_GIRO_O_GRAUS)
Q 4.2;(M10 MOTOR GIRO HOR)
RESERVA
RESERVA
RESERVA
Q 4.6;(M20_AV_CIL_LEITOR_COD_BA)
Q 4.7;(M10 CORRENTES RECUAR)
Q 5.0;(P609 MOTOR ROLOS)


Q 5.1 P578 MOTOR ROLOS

Q 5.2;(P607 MOTOR ROLOS)

Q 5.3 P586 MOTOR ROLOS

Q 5.4;(QC804 TERMICO ACIONADO)

Q 5.5 P571 MOTOR ROLOS
Q 5.6;(M16_DESCER_STOPPER)


Q 5.7;(M17_DESCER_STOPPER)
Q 6.1;(M19 CORRENTES AVANC)

Q 6.2;(M19 CORRENTES RECUA)

Q 6.3;(M26 ROLOS SEPARADOR AVAN)

Q 6.4;(M26 ROLOS SEPARADOR REC)

Q 6.5;(M27 ROLOS SEPARADOR AVAN)

Q 6.6;(M27 ROLOS SEPARADOR REC)

Q 6.7;(M18 ROLOS AVANCA)
Q 7.0;(M20 ROLOS SEPARADOR AVAN)

Q 7.1;(M21 ROLOS SEPARADOR AVAN)

Q 7.2;(M22 ROLOS SEPARADOR AVAN)

Q 7.3;(M23 ROLOS SEPARADOR AVAN)

Q 7.4;(M24 ROLOS SEPARADOR AVAN)

Q 7.5;(M25 ROLOS SEPARADOR AVAN)
Q 35.0;(QC804 LAMP EMERG ACIONAD)
RESERVA
Q 35.2;(Q0804 LAMP VERDE COLUNA)
Q 35.3;(Q0804 LAMP LARANJ COLUN)
Q 35.4;(Q0804 LAMP VERM COLUNA)
Q 35.5;(QC804 QUADRO EM CICLO)
RESERVA)
Q 35.7;(MO2_SUBIR_CORRENTES)
Q 36.0;(M08 READY TO GIVE MSK) Q 36.1;(MO8 CONVEYOR RUNNING)
Q 36.2;(M10 READY TO RECEIVE MSK)
Q 36.3;(M10 RECEIVEDE MSK)
Q 36.4;(M10 CONVEYOR RUNNING)
